   2095.31	   6.19949	   2095.31	   5.77086
   2063.41	   6.52602	   2063.41	   6.11949
   2095.19	   6.18481	   2095.19	    5.4094
   2044.82	   6.22626	   2044.82	    5.7425
   2059.13	   5.99564	   2059.13	   5.88768
   2058.09	   5.94047	   2058.09	   5.85897
    2086.3	   5.80353	    2086.3	    5.6359
   2084.74	   5.86701	   2084.74	   6.00344
   2066.28	   5.93126	   2066.28	   5.48087
   2089.02	    6.3984	   2089.01	    5.6522
   2086.94	   6.10889	   2086.94	    6.1623
   1949.58	   6.43693	   1949.58	   5.91624
   1968.27	   6.53454	   1968.27	   5.96866
   1959.95	   8.04497	   1959.95	   7.78079
   1948.93	   8.72648	   1948.93	   8.34981
    1934.7	   6.61919	    1934.7	   6.03462
    1942.4	    6.3723	    1942.4	   5.92781
   1982.69	   6.04684	   1982.69	   5.63384
   1967.07	   6.84796	   1967.07	   6.48617
   1962.02	   6.53553	   1962.02	   6.10294
    1947.5	   7.88063	    1947.5	   7.24265
   1911.48	   6.81511	   1911.48	   6.55042
   1910.28	   6.80555	   1910.28	   6.13451
   1960.78	   6.62236	   1960.78	   6.09113
   1931.84	   6.47021	   1931.84	   6.19079
   1891.58	   5.50075	   1891.58	   5.10178
   1935.56	   6.69549	   1935.56	   6.37563
   1943.53	    6.9179	   1943.53	    6.6573
   1934.37	   6.73893	   1934.37	   6.29478
   1891.87	    6.4771	   1891.87	   6.00956
   1910.47	    6.3845	   1910.47	   6.12746
   1907.62	   6.19409	   1907.62	   5.81929
   1940.96	   6.42496	   1940.96	   5.98438
   1992.56	   6.78829	   1992.56	   6.39942
   1909.98	   6.58456	   1909.98	   6.20744
   1917.86	   6.04841	   1917.86	   6.02176
    1912.3	   6.57638	    1912.3	   6.19876
   1903.17	      7.52	   1903.17	   7.14724
   1954.14	   6.20587	   1954.14	   5.83184
   1945.33	   6.12726	   1945.33	   5.88632
   1950.19	   6.28355	   1950.19	   5.88718
   1914.18	   5.88563	   1914.18	   5.83073
   1908.79	   6.13915	   1908.79	   5.78863
   1962.83	   6.37488	   1962.83	   5.73764
    1944.7	   6.25003	    1944.7	   5.85139
   1929.38	   6.19449	   1929.38	   5.98322
   1957.73	   6.82365	   1957.73	   6.53475
   1983.24	    6.1128	   1983.24	   5.87127
      1940	   6.83473	      1940	   6.42232
   1983.04	   6.66452	   1983.04	   6.24087
   1951.21	   6.59074	   1951.21	    6.4676
    1985.3	   6.79895	    1985.3	    6.4344
   1944.98	   6.38502	   1944.98	    5.7768
   1922.31	   6.76872	   1922.31	   6.62465
   1930.27	   6.63679	   1930.27	    6.3899
   1974.98	   6.99207	   1974.98	   6.41642
   1962.01	    6.9557	   1962.01	   6.59982
    1906.5	   6.84125	    1906.5	   6.74658
   1929.81	   7.07218	   1929.81	    6.3788
   1958.48	   6.25209	   1958.48	   6.09582
   1937.44	   6.74778	   1937.44	   6.38031
   1922.18	   6.69114	   1922.18	   6.54535
   1929.27	   5.99428	   1929.27	   5.69155
   1953.52	   6.20692	   1953.52	   5.69345
   1923.06	   6.41303	   1923.06	   6.02519
   1903.36	   6.88124	   1903.36	    6.4718
    1920.4	   6.86431	    1920.4	    6.5527
   1906.92	   6.54006	   1906.92	   6.26376
   1939.42	   1.76564	         0	         0
   1944.38	   6.81254	   1944.38	   6.19439
